rank,domain,health_score
235,camh.ca,0.998
236,dukehealth.org,1.000
237,mentalhealth.com,1.000
238,parkinson.org,0.978
239,muscleandfitness.com,0.955
240,pillpack.com,0.918
241,marriage.com,0.887
242,thelondonneurocognitiveclinic.co.uk,0.999
243,pcrm.org,0.996
244,fluco.store,1.000
245,nhsbsa.nhs.uk,0.890
246,drchrono.com,0.910
247,orlandohealth.com,0.996
248,cincinnatichildrens.org,0.972
249,lorealparisusa.com,0.959
250,sharp.com,0.999
251,growtherapy.com,0.986
252,fullscript.com,0.985
253,wcrf.org,0.964
254,propeciaa.sbs,1.000
255,texaschildrens.org,0.987
256,bswhealth.com,0.992
257,southcoast.org,0.951
258,clearcareonline.com,0.880
259,theordinary.com,0.868
260,brainhq.com,0.936
261,bodi.com,0.976
262,michaeljfox.org,0.902
263,youngminds.org.uk,0.855
264,chadd.org,0.923
265,fentybeauty.com,0.972
266,111.nhs.uk,0.987
267,nctsn.org,0.963
268,americanheart.org,0.990
269,mouthhealthy.org,0.980
270,hiv.gov,0.976
271,tartecosmetics.com,0.903
272,dsm.com,0.937
273,acaai.org,0.992
274,nccn.org,1.000
275,inova.org,0.989
276,peacehealth.org,0.949
277,revolutionehr.com,0.883
278,seattlechildrens.org,0.992
279,madmuscles.com,0.884
280,mecca.com,0.998
281,bilh.org,0.996
282,deltadental.com,0.971
283,metamedline.shop,0.999
284,emoryhealthcare.org,1.000
285,apollo247.com,0.967
286,fredhutch.org,1.000
287,chestnet.org,0.980
288,strawberrynet.com,0.991
289,allinahealth.org,0.997
290,deltadentalins.com,0.876
291,sciencebasedmedicine.org,0.995
292,christushealth.org,0.959
293,addictioncenter.com,0.999
294,rwjbh.org,0.997
295,rula.com,0.990
296,rnib.org.uk,1.000
297,jax.org,0.855
298,sesameworkshop.org,0.938
299,dana-farber.org,0.995
300,eurosurveillance.org,0.912
301,stress.org,0.902
302,studentdoctor.net,0.984
303,gluroo.com,0.946
304,joinladder.com,0.938
305,swansonvitamins.com,0.985
306,tremfya.com,1.000
307,rheumatology.org,0.964
308,acsevents.org,0.995
309,childrenscolorado.org,0.998
310,intuitive.com,0.975
311,drugstore.com,0.899
312,natera.com,0.997
313,ohiohealth.com,0.998
314,hcahealthcare.com,0.977
315,atlantichealth.org,0.999
316,sicat.com,0.987
317,teladochealth.com,0.996
318,neuralink.com,0.986
319,withcherry.com,0.901
320,shiseido.com,0.974
321,aqi.in,0.992
322,choc.org,0.997
323,wakehealth.edu,0.976
324,drfirst.com,0.968
325,bodygram.com,0.885
326,nationalbreastcancer.org,0.989
327,getfreed.ai,0.876
328,lifeline.org.au,0.900
329,naturalcycles.com,0.996
330,arthromedix.online,1.000
331,truity.com,0.942
332,therapistaid.com,0.997
333,umc.edu,0.877
334,glowing.com,0.915
335,levited.com,1.000
