rank,domain,health_score,initial_list_row
187,spring.org.uk,0.998,99948
188,healthhub.sg,0.998,100087
189,kidneyfund.org,0.998,102186
190,wakemed.org,0.998,105790
191,rugiet.com,0.998,106986
192,childrensmercy.org,0.998,111252
193,renown.org,0.998,112601
194,headspace.com,0.997,8120
195,ketogo.app,0.997,9136
196,lung.org,0.997,12155
197,greatist.com,0.997,23025
198,uhhospitals.org,0.997,28446
199,additudemag.com,0.997,29448
200,nyp.org,0.997,34193
201,allinahealth.org,0.997,43669
202,rwjbh.org,0.997,43900
203,natera.com,0.997,47080
204,choc.org,0.997,48553
205,therapistaid.com,0.997,49102
206,teencounseling.com,0.997,57256
207,healthlinkbc.ca,0.997,57525
208,pharmaceutical-journal.com,0.997,59741
209,clinikally.com,0.997,66049
210,tryemsense.com,0.997,66175
211,madinamerica.com,0.997,75668
212,dermatouch.com,0.997,89137
213,tatvacare.in,0.997,89841
214,cilisapp.com,0.997,95068
215,nmhealth.org,0.997,102839
216,baptisthealth.com,0.997,107811
217,rcpch.ac.uk,0.997,124472
218,wikidoc.org,0.997,125216
219,ohsu.edu,0.996,13936
220,skincancer.org,0.996,25126
221,cedars-sinai.org,0.996,25406
222,sentara.com,0.996,35920
223,oliveyoung.com,0.996,36892
224,pcrm.org,0.996,39160
225,orlandohealth.com,0.996,39710
226,bilh.org,0.996,42959
227,teladochealth.com,0.996,48112
228,naturalcycles.com,0.996,48839
229,mother.ly,0.996,54387
230,joinmidi.com,0.996,54640
231,socialbookmarkssite.com,0.996,62056
232,cancer.org.au,0.996,66059
233,ssmhealth.com,0.996,67218
234,fitandwell.com,0.996,68625
235,teladoc.com,0.996,70379
236,nutrafol.com,0.996,70883
237,perio.org,0.996,81578
238,activiagrs.com,0.996,84714
239,mediweightlossclinics.com,0.996,86513
240,accolade.com,0.996,91006
241,ert.com,0.996,102064
242,mhs.net,0.996,112309
243,visionexpress.com,0.996,113364
244,pregnancybirthbaby.org.au,0.996,118400
245,rchsd.org,0.995,30145
246,cancer.net,0.995,35384
247,sciencebasedmedicine.org,0.995,43741
248,dana-farber.org,0.995,44413
249,acsevents.org,0.995,46753
250,asthmaandlung.org.uk,0.995,67290
251,bbraun.com,0.995,67886
252,parkview.com,0.995,86922
253,free-anatomy-quiz.com,0.995,91537
254,reviewmentor.com,0.995,93404
255,psychology.org.au,0.995,97341
256,healthyseminars.com,0.995,110849
257,vihelse.com,0.995,111529
258,jwatch.org,0.995,113305
259,saintfrancis.com,0.995,116553
260,bonehealthandosteoporosis.org,0.995,117307
261,nof.org,0.995,117907
262,stelizabeth.com,0.995,120648
263,clinicallabs.com.au,0.995,122399
264,cancercare.org,0.995,124401
265,cdc.gov,0.994,344
266,providence.org,0.994,16463
267,abishkking.com,0.994,33128
268,glassesusa.com,0.994,34198
269,organicfacts.net,0.994,51404
270,scripps.org,0.994,55178
271,healthkart.com,0.994,57493
272,nutritiongeeks.co,0.994,64506
273,drinkag1.com,0.994,65737
274,foxtale.in,0.994,77925
275,guardian.in,0.994,79442
276,sova.health,0.994,100560
277,questdiagnostics.com,0.993,13511
278,labcorp.com,0.993,14042
279,bostonmagazine.com,0.993,25693
280,simpledesign.ltd,0.993,32628
281,ufhealth.org,0.993,55958
282,urologyhealth.org,0.993,59794
283,alto.com,0.993,68102
284,olay.com,0.993,85139
285,iwantgreatcare.org,0.993,94352
286,physitrack.com,0.993,106357
287,dosedaily.co,0.993,106500
288,acog.org,0.992,13627
289,whattoexpect.com,0.992,15539
290,atriumhealth.org,0.992,34005
